term_id,slug,description
2293,men-eyeglasses,"<div class=""description""><div class=""title""><h1>The trendiest collection of eyeglasses for men</h1></div><p>Browse through the trendiest collection of eyeglasses for men to find a pair that matches your style. CA Glasses offers the perfectly crafted eyeglasses collection at an affordable price. Whether you are looking for semi-rim, full-rim, or metal, we have got you covered. The frames are manufactured using the highest quality materials and lenses with advanced technology. Place an order for your next glasses and get timely delivery with free shipping across the USA and Canada.</p></div>"
2294,women-eyeglasses,"<div class=""description""><div class=""title""><h1>The Most Stunning Collection of Eyeglasses For Women</h1></div><p>CA Glasses provides the most beautiful collection of eyeglasses for women, where every frame is designed to suit different face shapes and skin tones. We have carefully created the designs that highlight your best features and give you a stunning look. Each pair is made with care and great attention to detail using the highest quality material. Whether you want aviator or cat-eye glasses, the trendiest eyeglass frames are just a few clicks away.</p></div>"
2295,kids-prescription-glasses-online,"<div class=""description""><div class=""title""><h1>Kids Prescription Eyeglasses</h1></div><p>Not all kids like being told that they need glasses. At CA Glasses, we take extra care to reassure each of our young patients that they?ll continue to look amazing with their new eyewear, and that it?s not the nightmare they think. Plus, our kid?s prescription eyeglasses are featured in all the colours of the rainbow and fresh styles they will love to choose from and be proud to wear. Show your child our range of fun and cool glasses they can wear today! </p></div>"
2296,rx-sunglasses,"<div class=""description""><div class=""title""><h1>Rx Sunglasses</h1></div><p>CA Glasses provides high quality, functional, and stylish collection of sunglasses designed to match your needs. We give you the perfect combination of style, quality, and affordability with our new range of Rx sunglasses. With this trendiest collection of sunglasses enhances your fashion sense in a most inspiring way. Whether you are looking for cat-eye sunglasses or aviator sunglasses, we have covered all your needs for looking trendy with our array of frames. We ensure that each pair of shades fits you comfortably, and you can enjoy your daily activities looking with the ultra-modern look. Consider CA Glasses your one-stop solution to buy sunglasses online at the best price.</p></div>"
2297,prescription-sports-glasses,"<div class=""description""><div class=""title""><h1>Prescription Sports Glasses & Goggles</h1></div><p>With a pair of Rx sports glasses, you?ll be unstoppable. The frames encase sturdy polycarbonate lenses that provide anti-glare and polarized coating to give you the maximum durability and impact protection you need. Each pair of prescription sports goggles is made with the latest innovative wrap around design, giving you a stylish look during practice and play. All of the components deliver on functionality and practicality, ensuring long-term use, so you can get the most out of your pair. CA Glasses also provides goggles for swimming and skiing to let you keep doing what you love with excellent vision. Want more clarity? Try our HD Rx lenses! Whether you?re on the field, track, or court, our prescription sports glasses are built for the best performance. Athletes who need sharp vision and reliable protection can trust CA Glasses to deliver. From high-speed cycling to intense basketball matches, our Rx sport glasses and prescription sports goggles combine impact resistance with a comfortable fit, so you can focus on your game instead of worrying about your eyewear and eye-protection.</p></div>"
2299,men-eyeglasses-by-lenses,"<div class=""description""><div class=""title""><h1>Mens Eyeglasses by Lenses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2300,single-vision-eyeglasses-for-men,"<div class=""description""><div class=""title""><h1>Single Vision Eyeglasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2301,progressive-eyeglasses-for-men,"<div class=""description""><div class=""title""><h1>Men's Progressive Prescription Eyeglasses</h1></div><p>If you need lenses for multipurpose functionality, progressive eyeglasses are the ones to choose! Progressive lenses combine three different types of vision in one: close-up, in-between, and at a distance. CA Glasses offers a wide choice of styles and colours that will showcase your high-quality frames without hurting your wallet. From clean and simple colours to electrifying patterns to full or partial frames, there?s something for everyone! Browse our collection of men?s progressive prescription eyeglasses today!</p></div>"
2302,men-eyeglasses-by-frame,"<div class=""description""><div class=""title""><h1>Men's Eyeglasses by Frame</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2303,half-rim-eyeglasses-for-men,"<div class=""description""><div class=""title""><h1>Half Rim Eyeglasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2304,full-rim-eyeglasses-for-men,"<div class=""description""><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2305,rimless-eyeglasses-for-men,"<div class=""description""><div class=""title""><h1>Rimless Eyeglasses</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2306,men-eyeglasses-by-shape,"<div class=""description""><div class=""title""><h1>Men's Eyeglasses by Shape</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2307,aviator-eyeglasses,<div class="description"><div class="title"><h1>Aviator Glasses and Sunglasses Stylish Wrap Around Design Strong Polycarbonate Lenses Anti-Glare and Scratch Resistant FDA and ANSI Approved</p></div>
2308,rectangle-glasses-men,"<div class=""description""><div class=""title""><h1>Rectangle Glasses for Men</h1></div><p>Our collection of rectangle glasses for men emit a bold look that exudes confidence. Simply start off with the type of edging you want the rectangular frames to have. The crisp edges of the frames show off a sporty or architectural look. The frames with rounded edges give off a softer, understated look. Complete your new look with your preferred style or colour. There are so many available that you could have a different look for every day of the year! It?s important to note that rectangular glasses are recommended for individuals with round or oval-shaped faces. Browse our vast selection of rectangle glasses for men today!</p></div>"
2309,round-glasses-men,"<div class=""description""><div class=""title""><h1>Round Eyeglasses</h1></div><p>If a classic style is what you?re after, then look no further! Our round glasses for men provide a chic and iconic appearance that?s guaranteed to match any outfit and reap an abundance of compliments. Go for full round with our Louanne and Charley lines, or highlight the upper part with thick framing, as seen in our Cameron and Eli collections. Want to combine styles? Kylie will help you stand out with round and aviator styles! CA Glasses has plenty of styles and colours that you?re going to love. Find your perfect pair of round glasses at CA Glasses today!</p></div>"
2310,wayfarer-eyeglasses-for-men,"<div class=""description""><div class=""title""><h1>Mens Wayfarer Prescription Reading Glasses</h1></div><p>Are you searching for the most popular style of eyewear? If the answer is yes, look no further! Since the 50s, wayfarer eyeglasses have flawlessly combined casual with professional and trendy with classic. What’s more, this type of frame can be paired with other shapes to make one unique piece. Join famous celebrities, like James Dean, Bob Dylan, and Buddy Holly, when you don a pair of wayfarer glasses. With a fine selection of sizes, colours, and style options to choose from, you can never go wrong with wayfarer. Shop our collection of men’s wayfarer prescription reading eyeglasses !</p></div>"
2311,men-eyeglasses-by-material,"<div class=""description""><div class=""title""><h1>Men's Eyeglasses by Material</h1></div><p>Starting at $29, including scratch-resistant prescription lenses that provide 100% UV protection.</p></div>"
2312,metal-eyeglasses-for-men,"<div class=""description""><div class=""title""><h1>Metal Eyeglasses For Men</h1></div><p>Starting at $29, including scratch-resistant prescription metal eyeglass for men that provide 100% UV protection.</p></div>"
2313,titanium-eyeglasses-for-men,"<div class=""description""><div class=""title""><h1>Titanium Eyeglasses</h1></div><p>Minimalism is the keyword for today's man. If you desire the simple yet classy look, our titanium eyeglasses for men will help you achieve your goal. Despite their thin frame, titanium eyeglasses are made with a strong, malleable, and corrosion-resistant metal. They?re also flexible and will mold perfectly to your unique facial structure. At CA Glasses, we value variety, so we provide partial framing options, such as our Angelo and Jackson lines. Why show the frame at all? With our pair of gold Lucas titanium glasses, you can read without distraction. Come find your new pair of titanium eyeglasses today!</p></div>"
